X,X,X,X,X,X,X,X_S,X_ES,P_NEW,X_W,X,X,X_E,P_NEW,X_SW,X_S,X,X,X,X,X,X,X,
Kitchen_NW,Kitchen_N,Kitchen_N,Kitchen_N,Kitchen_N,Kitchen_NE,X_ES,P_NW,P_NS,P_ES,Ball Room_NW,Ball Room_N,Ball Room_N,Ball Room_NE,P_SW,P_NS,P_NE,X_SW,Conservatory_NW,Conservatory_N,Conservatory_N,Conservatory_N,Conservatory_N,Conservatory_NE,
Kitchen_W,Kitchen,Kitchen,Kitchen,Kitchen,Kitchen_E,P_NW,P_E,Ball Room_NW,Ball Room_N,Ball Room,Ball Room,Ball Room,Ball Room,Ball Room_N,Ball Room_NE,P_W,P_NE,Conservatory_W,Conservatory,Conservatory,Conservatory,Conservatory,Conservatory_E,
Kitchen_W,Kitchen,Kitchen,Kitchen,Kitchen,Kitchen_E,P_W,P_E,Ball Room_W,Ball Room,Ball Room,Ball Room,Ball Room,Ball Room,Ball Room,Ball Room_E,P_W,P_E,Conservatory_W,Conservatory,Conservatory,Conservatory,Conservatory,Conservatory_E,
Kitchen_W,Kitchen,Kitchen,Kitchen,Kitchen,Kitchen_E,P_W,P_E,Ball Room_W,Ball Room,Ball Room,Ball Room,Ball Room,Ball Room,Ball Room,Ball Room_E,P_W,P_E,Conservatory_W,Conservatory,Conservatory,Conservatory,Conservatory,Conservatory_ES,
Kitchen_SW,Kitchen,Kitchen,Kitchen,Kitchen,Kitchen_E,P_W,P,Ball Room,Ball Room,Ball Room,Ball Room,Ball Room,Ball Room,Ball Room,Ball Room,P,P,P_E,Conservatory_SW,Conservatory_S,Conservatory_S,Conservatory_ES,X_S,
X_S,Kitchen_SW,Kitchen_S,Kitchen_S,Kitchen,Kitchen_ES,P_W,P_E,Ball Room_W,Ball Room,Ball Room,Ball Room,Ball Room,Ball Room,Ball Room,Ball Room_E,P_W,P,P_E,P_N,P_N,P_N,P_N,P_NES,
P_NW,P_N,P_N,P_N,P,P_N,P,P_E,Ball Room_SW,Ball Room,Ball Room_S,Ball Room_S,Ball Room_S,Ball Room_S,Ball Room,Ball Room_ES,P_W,P_S,P_S,P_S,P_S,P_S,P_ES,X_NW,
X_NE,P_SW,P_S,P_S,P_S,P,P,P,P_N,P,P_N,P_N,P_N,P_N,P,P_N,P_E,Billiard Room_NW,Billiard Room_N,Billiard Room_N,Billiard Room_N,Billiard Room_N,Billiard Room_N,Billiard Room_NE,
Dining Room_NW,Dining Room_N,Dining Room_N,Dining Room_N,Dining Room_NE,P_SW,P_S,P_S,P,P,P_S,P_S,P_S,P_S,P_S,P,P,Billiard Room,Billiard Room,Billiard Room,Billiard Room,Billiard Room,Billiard Room,Billiard Room_E,
Dining Room_W,Dining Room,Dining Room,Dining Room,Dining Room,Dining Room_N,Dining Room_N,Dining Room_NE,P_W,P_E,Cellar_NW,Cellar_N,Cellar_N,Cellar_N,Cellar_NE,P_W,P_E,Billiard Room_W,Billiard Room,Billiard Room,Billiard Room,Billiard Room,Billiard Room,Billiard Room_E,
Dining Room_W,Dining Room,Dining Room,Dining Room,Dining Room,Dining Room,Dining Room,Dining Room_E,P_W,P_E,Cellar_W,Cellar,Cellar,Cellar,Cellar_E,P_W,P_E,Billiard Room_W,Billiard Room,Billiard Room,Billiard Room,Billiard Room,Billiard Room,Billiard Room_E,
Dining Room_W,Dining Room,Dining Room,Dining Room,Dining Room,Dining Room,Dining Room,Dining Room_E,P_W,P_E,Cellar_W,Cellar,Cellar,Cellar,Cellar_E,P_W,P_E,Billiard Room_SW,Billiard Room_S,Billiard Room_S,Billiard Room_S,Billiard Room_S,Billiard Room,Billiard Room_ES,
Dining Room_W,Dining Room,Dining Room,Dining Room,Dining Room,Dining Room,Dining Room,Dining Room,P,P_E,Cellar_W,Cellar,Cellar,Cellar,Cellar_E,P_W,P,P_N,P_NS,P_NS,P_N,P_NS,P_ES,X,
Dining Room_W,Dining Room,Dining Room,Dining Room,Dining Room,Dining Room,Dining Room,Dining Room_E,P_W,P_E,Cellar_W,Cellar,Cellar,Cellar,Cellar_E,P_W,P,P_ES,Library_NW,Library_N,Library,Library_N,Library_NE,X,
Dining Room_SW,Dining Room_S,Dining Room_S,Dining Room_S,Dining Room_S,Dining Room_S,Dining Room,Dining Room_ES,P_W,P_E,Cellar_SW,Cellar_S,Cellar_S,Cellar_S,Cellar_SE,P_W,P_E,Library_NW,Library,Library,Library,Library,Library,Library_NE,
X_ES,P_NW,P_N,P_N,P_N,P_N,P,P_N,P,P,P_N,P_N,P_N,P_N,P_N,P,P,Library,Library,Library,Library,Library,Library,Library_E,
P_NSW,P,P,P,P,P,P,P,P,P_S,P_S,P,P,P_S,P_S,P,P_E,Library_SW,Library,Library,Library,Library,Library,Library_ES,
X_NE,P_SW,P_S,P_S,P_S,P_S,P,P,P_E,Hall_NW,Hall_N,Hall,Hall,Hall_N,Hall_NE,P_W,P,P_NE,Library_SW,Library_S,Library_S,Library_S,Library_ES,X_S,
Lounge_NW,Lounge_N,Lounge_N,Lounge_N,Lounge_N,Lounge_N,Lounge_E,P_W,P_E,Hall_W,Hall,Hall,Hall,Hall,Hall_E,P_W,P,P,P_N,P_N,P_N,P_N,P_N,P_NES,
Lounge_W,Lounge,Lounge,Lounge,Lounge,Lounge,Lounge_E,P_W,P_E,Hall_W,Hall,Hall,Hall,Hall,Hall,P,P,P,P_S,P_S,P_S,P_S,P_ES,X_NW,
Lounge_W,Lounge,Lounge,Lounge,Lounge,Lounge,Lounge_E,P_W,P_E,Hall_W,Hall,Hall,Hall,Hall,Hall_E,P_W,P_E,Study_W,Study_N,Study_N,Study_N,Study_N,Study_N,Study_NE,
Lounge_W,Lounge,Lounge,Lounge,Lounge,Lounge,Lounge_E,P_W,P_E,Hall_W,Hall,Hall,Hall,Hall,Hall_E,P_W,P_E,Study_W,Study,Study,Study,Study,Study,Study_E,
Lounge_W,Lounge,Lounge,Lounge,Lounge,Lounge,Lounge_ES,P_W,P_ES,Hall_SW,Hall,Hall,Hall,Hall,Hall_ES,P_SW,P_E,Study_SW,Study,Study,Study,Study,Study,Study_E,
Lounge_SW,Lounge_S,Lounge_S,Lounge_S,Lounge_S,Lounge_ES,X_E,P_ESW,X_NW,X,Hall_SW,Hall_S,Hall_S,Hall_ES,X,X_NE,P_ESW,X_W,Study_SW,Study_S,Study_S,Study_S,Study_S,Study_ES
